FID SID sim1 sim2 sim3
abc1 abc1 80.91 81.47 1.54
abc2 abc2 44.44 90.15 28.38
abc3 abc3 41.61 87.27 67.21
abc4 abc4 17.92 63.01 99.32
abc5 abc5 8.29 27.93 67.8
abc6 abc6 43.28 25.65 16.43
abc7 abc7 65.02 18.76 68.74
abc8 abc8 0.67 31.91 39.49
abc9 abc9 13.54 40.64 29.74
abc10 abc10 85.62 39.55 8.07
abc11 abc11 36.18 79.69 98.99
abc12 abc12 73.47 38.68 67.31
abc13 abc13 96.14 55.75 74.24
abc14 abc14 32.7 42.9 17.24
abc15 abc15 3.47 67.67 54.52
abc16 abc16 77.44 73.81 96.5
abc17 abc17 62.04 94.28 5.02
abc18 abc18 32.15 64.91 66.34
abc19 abc19 54.28 78.38 28.95
abc20 abc20 41.62 34.26 79.11
abc21 abc21 90.45 10.87 39.65
abc22 abc22 50.12 9.43 41.29
abc23 abc23 29.57 89.42 22.82
abc24 abc24 95.73 78.68 89.25
abc25 abc25 45.78 36.91 50.33
abc26 abc26 81.79 38.55 84.26
abc27 abc27 68.58 69.26 32.73
abc28 abc28 71.25 50.26 53.59
abc29 abc29 73.79 15.63 9.6
abc30 abc30 42.03 81.23 86.74
abc31 abc31 25.29 61.18 86.75
abc32 abc32 19.66 38.96 0.5
abc33 abc33 72.03 4.61 81.87
abc34 abc34 78.04 95.75 9.37
abc35 abc35 17.69 42.34 41.86
abc36 abc36 60.52 90.26 59.15
abc37 abc37 94.47 87.99 6.65
abc38 abc38 22.1 98.12 1.66
abc39 abc39 79.26 46.89 44.19
abc40 abc40 27.65 73.89 5.4
abc41 abc41 3.16 71.74 64.84
abc42 abc42 16.2 36.62 42.12
abc43 abc43 2.28 52.62 8.68
abc44 abc44 15.57 85.23 17.21
abc45 abc45 23.05 52.93 33.86
abc46 abc46 0.19 79.57 11.75
abc47 abc47 19.32 56.71 85.7
abc48 abc48 7.24 17 23.2
abc49 abc49 0.29 38.2 36.05
abc50 abc50 32.19 29.58 60.25
abc51 abc51 26.19 14.01 74.52
abc52 abc52 82.4 34.29 36.35
abc53 abc53 36.04 29.73 51.32
abc54 abc54 89.66 30.69 23.91
abc55 abc55 35.61 83.55 58.56
abc56 abc56 74.86 70.04 75.13
abc57 abc57 65.32 41.13 27.27
abc58 abc58 58.01 78.52 50.54
abc59 abc59 17.31 67.34 97.3
abc60 abc60 7.92 99.13 37.09
abc61 abc61 82.04 25.25 46.8
abc62 abc62 62.21 37.51 34.91
abc63 abc63 95.6 83.01 27.25
abc64 abc64 79.34 94.24 73.21
abc65 abc65 11.04 26.13 22.91
abc66 abc66 95.16 33.43 44.83
abc67 abc67 2.32 38.57 59.62
abc68 abc68 80.74 89.06 56.72
abc69 abc69 29.35 91.18 69.05
abc70 abc70 48.18 40.69 87.37
abc71 abc71 86.43 16.76 29.19
abc72 abc72 7.95 51.7 79.7
abc73 abc73 65.07 38.1 97.35
abc74 abc74 12.1 34.87 97.12
abc75 abc75 91.59 0.45 47.53
abc76 abc76 59.57 69.01 30.39
abc77 abc77 25.72 84.14 88.62
abc78 abc78 82.08 49.32 30.75
abc79 abc79 45.24 69.78 8.73
abc80 abc80 79.23 15.42 99.48
abc81 abc81 90.69 43.66 52.52
abc82 abc82 1.62 98.06 82.92
abc83 abc83 95.96 76.11 42.91
abc84 abc84 46.88 25.7 44.45
abc85 abc85 27.43 49.64 46.88
abc86 abc86 81.54 76.63 57.57
abc87 abc87 28.07 67.01 67.07
abc88 abc88 3.63 56.03 37.28
abc89 abc89 23.94 51.32 48.21
abc90 abc90 57.12 55.64 25.36
abc91 abc91 40.16 70.69 11.31
abc92 abc92 92.93 10.32 76.69
abc93 abc93 79.4 78.59 96.02
abc94 abc94 55.19 16.96 59.19
abc95 abc95 68.93 27.46 82.57
abc96 abc96 51.07 50.05 2.46
abc97 abc97 34.3 10.33 80.62
abc98 abc98 48 20.31 91.67
abc99 abc99 28.8 38.92 77.44
abc100 abc100 17.33 99.13 82.11
abc101 abc101 16.32 64.13 32.87
abc102 abc102 0.52 59.3 3.3
abc103 abc103 24.69 11.58 66.7
abc104 abc104 81.5 44.83 57.24
abc105 abc105 32.43 83.13 62.95
abc106 abc106 75.48 96.41 97.16
abc107 abc107 55.85 18.77 58.68
abc108 abc108 75.31 66.67 41.89
abc109 abc109 95.41 92.38 72.18
abc110 abc110 9.87 22.4 49.57
abc111 abc111 92.6 25.21 20.43
abc112 abc112 21.37 69.24 68.87
abc113 abc113 26.59 36.67 37.63
abc114 abc114 10.11 74.1 78.36
abc115 abc115 70.05 7.45 62.85
abc116 abc116 61.32 6.49 78.42
abc117 abc117 59.21 69.37 75.87
abc118 abc118 45.64 42.8 46.78
abc119 abc119 72.57 52.92 67.75
abc120 abc120 36.16 26.51 23.12
abc121 abc121 64.59 51.78 21.36
abc122 abc122 39.24 8.76 45.95
abc123 abc123 1.53 23.98 41.4
abc124 abc124 36.09 76.75 6.82
abc125 abc125 75.07 36.43 33.78
