Taxa	FN.PctWtLoss	Pleth.Weight	Glucose.Weight
A048005080	8.490562033	24.9	23.6
A048006063	7.865165594	32	29.1
A048006555	5.263155764	28.5	26.1
A048007096	7.203386778	27.2	25.7
A048010273	10.84336696	21.2	19.1
A048010371	6.395345119	21	21.7
A048011040	6.779655271	15.6	14.1
A048011287	2.702701659	29.3	27.4
A048011567	4.265400822	26.1	23.9
A048013559	8.426961558	19.4	17.7
A048015047	7.784426476	21.2	19.1
A048017615	5.339803233	23.9	23.2
A048019267	8.205123997	23.1	21.1
A048021023	6.194687524	26.4	24.5
A048022858	7.526877674	20	17.8
A048023355	8.205123997	21.5	19.7
A048023581	NA	26.3	25.5
A048028854	7.85339903	20.4	18.1
A048028871	8.292678882	23.6	22.7
A048029086	5.797098649	22.2	20.1
A048030529	NA	22.7	22.4
A048031067	2.515721688	16.8	16.2
A048031101	1.442306999	22.4	20
A048031355	5.142854204	19.9	19.8
A048031545	6.508871888	17.2	15.7
A048031769	NA	24	23.9
A048031794	2.222220988	21.5	20.5
A048031822	6.882588307	30	28.4
A048032099	7.547165065	21.5	20.6
A048032883	1.734103044	20.2	19.4
A048033069	8.474571483	21.9	20.2
A048033354	5.594401682	16.1	14.8
A048033618	8.49999575	24.3	21.9
A048034836	8.808285592	25	22.7
A048035291	3.636361433	20.8	19.7
A048035543	6.976740941	24.6	23.2
A048035553	2.631577216	18	16.9
A048035776	6.214685754	20	17.7
A048036063	11.11110617	25.7	22.1
A048036259	NA	20.4	19.5
A048037297	5.479448302	18.6	18.8
A048038018	2.259885729	21	21
A048039054	8.080804	23.5	21.9
A048040045	7.236837344	16.5	15.5
A048040526	7.602334735	18.5	16.6
A048041122	3.067482781	18.6	17.1
A048041606	5.056176935	18.1	NA
A048041617	3.91061234	21.7	19.9
A048042298	5.673754841	16.3	NA
A048042578	7.623314967	26.4	25.9
A048042626	8.839774122	20.1	18.5
A048042870	5.603445861	26.4	25.3
A048043004	6.832293893	21.1	NA
A048043525	9.999994737	21.1	19.6
A048043833	4.924240559	27.6	25.9
A048044830	2.777775849	17.1	15.7
A048045845	8.629437244	24.2	22.9
A048047040	7.428567184	19.5	18.6
A048047298	4.635758519	18.9	17.2
A048048118	NA	21.4	19.6
A048050779	1.298700455	18.7	17
A048050833	2.714930898	26.2	25.7
A048051064	4.926105948	26.5	23.7
